,message,personal
1513,Hmmm... Green? So wat does it mean....,personal
1514,Haha... Hmmm... Shant tell u...,personal
1515,Dun wan la... :),personal
1516,choose a colour... Just some silly test la...,personal
1517,"How come u r near my area leh... Hmmm, dun thk so, watchin tv...",personal
1518,"s pink... Blue means lover... No light blue... Oh, my fren sent to me,so i forward to my frens oso lor...",personal
1519,"Haha... Kaiez, take care den, poor guy...My day ah, okie lor... As usual, slackin at home...",personal
1520,When will u b back... Cos we goin  to sch at 1230...,personal
1521,"s not back yet, we might have to go ourselves, paiseh...",personal
1522,"ll b goin to e busstop now lor... U c me den alight lor... E stop is opp my hse one leh, correct rite...",personal
1523,"m sittin at e orchard boulevard, next to e control station, u reach liao den come find me...",personal
1524,"Hmmm... When u come out den walk right, e area where pple always gather lor...",personal
1525,Hmmm... Dun feel lk goin....,personal
1526,s ok...,personal
1527,Hmmm.... I dun mind lor... But they wont bite rite...,personal
1528,Eh... Den tmr when will u b passin me ur kids...,personal
1529,Huh... How big... Hmmm... Mayb late afternoon lor...,personal
1530,Hmmm... Mayb i go ur hse and get from u lor...,personal
1531,Thk so lor... Tmr den confirm...,personal
1532,Eh joan... I go and get frm u at 3 plus ah... U at home rite...,personal
1533,ll b home tonite and tmr...,personal
1534,"m quite free these days la, u arrange e meetin day lor...",personal
1535,m not goin 4 any camps... My faculty camp oso over liao... U goin 4 wat camp?,personal
1536,"Wow... Joan goin w her bf, her parents allow so gd ah...Haiz, so sad, cant c her pigs...",personal
1537,"Hey den u stayin in hostel ah... Hiyo, will c u even less liao...",personal
1538,"Hmmm... Thk d lor, biscuit... Although i dunno wat kind of biscuit is tt... Never hear b4...",personal
1539,"Which poly she goin to... But u stayin in hostel so half e time u will b so far away mah... Haha, wana c how her bf look lk...",personal
1540,s quite 4 me... U dun find it accurate meh...,personal
1541,Quite wat... Last time always tok to u one... Only now seldom liao mah...,personal
1542,ll b free at 3... Meet at tis time? So we goin 4 dinner or wat....,personal
1543,Okie... No prob... Cya...,personal
1544,"No particular reason lor, anyway tt day got somethin on, dun wan to rush abt oso...",personal
1545,"Eh xin ah... U got any lesson u dun wan tis wk? Cos i left one more, so i thgt of finishin it...",personal
1546,Really... But muz wait very long rite... So u book ur test date oredi...,personal
1547,"Really... K k, i go back and check...",personal
1548,ll pass tis one...,personal
1549,Hmmm... Got no movie to watch oredi...,personal
1550,m watchin e sneak tonite leh...,personal
1551,m watchin today....,personal
1552,Oh... Haha... I din watch twins effect... Watched T 3... So we can watch nxt wk...,personal
1553,Gee... I rem... Wont forget... Thanx... So when u wana watch twins effect nxt wk leh...,personal
1554,Hmmm... Thk tues beta... Mon not free...,personal
1555,"ll b back by now... Haha, muz b still enjoyin herself over there la...",personal
1556,s on 1st sept... So long...,personal
1557,"Aiya, e instructor oso close one eye... Gee, finally finish oredi...",personal
1558,ve u been den...,personal
1559,"Nope din buy anythin... Put on weight liao, so try clothes nt nice den din buy lor... Aiya, one more yr only, v fast over...",personal
1560,"Haha... Put on weight at e wrong place leh... Ya la, enjoy too much cheesecake oredi... So u r in e bowlin comp...",personal
1561,"s bd, meijun i forgot abt it too. Haha, gd luck in ur comp...",personal
1562,"s ur bd... Ya, i went out w her but i only realized on e day itself lor, felt bad abt it...",personal
1563,"s bd oredi... Haha, not bad , ur bd got pretty gals to company...",personal
1564,ll b havin fun...,personal
1565,Not yet... Readin...,personal
1566,"Oh... Thgt u slp early one... Readin harry potter, finishin e book soon, yeah...",personal
1567,"Ic...U wan i can lend u e book to read lor... Haha, newsweek oso nice wat...",personal
1568,Ya...Not too bad lor...,personal
1569,"Wah... Now den come back, muz b enjoyin over there... Hey u wana watch twins effect?",personal
1570,"s a new chinese vampire show, got edison chen!",personal
1571,Ok la... Den mum and papa leh... V ask em dey wan anythin anot den msg me again...,personal
1572,s movie still on?,personal
1573,Ya... Afternoon show rite... Dunno wawa wana watch anot...,personal
1574,"Oh... Ok lor... Den when she can make it... Oh,  e qet is on wed izit...",personal
1575,"s nxt tue rite, shld b alrite... Aiyo, so sian, wed got test... So cya on wed...",personal
1576,"ll hand in when i collect e mat package. Oh ya, 23rd is on wed, movie date rite...",personal
1577,Thgt we have to collect some package on 17th if  u haven received it...,personal
1578,Haven leh... So i thk might have to collect myself oredi...,personal
1579,Huh... Change again ah... Seems lk my info very outdated...,personal
1580,Gee... My memory is bad den... I rem wrongly...,personal
1581,Tmr ah... Go where...,personal
1582,Wif ur og ah... Will i b extra anot... I dun mind goin lor... Go chit chat...,personal
1583,Oh... Okie lor... I dunno how to go there so i meet u somewhere first...,personal
1584,Hey fen ah... Wat time u wana meet me ah...,personal
1585,"I anythin la... Can sit and tok can liao... Hmmm, u workin today izit... So fion joinin us...",personal
1586,Paint hostel for wat... So tonite no nd me to company u rite...,personal
1587,s hse lor...,personal
1588,s play...,personal
1589,Hmmm... Okie... But i cant chat 4 long...,personal
1590,"Den wat other movies, alex and emma ah... I cant go online yet, my sis usin e laptop...",personal
1591,Hmmm... K lor...dun mind...,personal
1592,"s ticket, c how much to bring...",personal
1593,"I thgt will b lk 30 bucks or somethin... K la, cya on fri...",personal
1594,ll juz cya at three.... :),personal
1595,s great! Can drive us ard...,personal
1596,"Hey pink... U got license liao... Yeah, can drive us ard...",personal
1597,"ll b goin casual lor... U muz b v happy today, finally got ur license liao... So good....",personal
1598,s play today?...If yes rem to bring my ring hor...,personal
1599,Embassy... Nope... Y leh...,personal
1600,s life over there...,personal
1601,?,personal
1602,Haha... Okie... Enjoy ur first nite k... Nitez...,personal
1603,Mine is z_ilches@hotmail.Com. Sis is yijueus@yahoo.Com,personal
1604,Tmr me and xin nd to go sch for qet... Unless go out in late afternoon...,personal
1605,My sis will drive me there cos she might nd to go sch too... U wan a lift? Goin out w wawa tmr?,personal
1606,Kaiez... So cya tmr...,personal
1607,m handin in e forms too...so after our test den we go and meet em lor...,personal
1608,"Ya lor... Quite scared tmr get blocked, dunno wat to write...my editin lk shit oso... Cya tmr...",personal
1609,Hi... Can u arrange a time 4 e haircut tmr at 2?,personal
1610,Ya... She wans... But now so late dunno still can arrange 4 tmr anot...,personal
1611,I thk still muz make appt b4 goin dwn... And nd to tell him we goin oso... Unless tmr morn den book lor...,personal
1612,Yupz 60... Mine is z_ilches@hotmail.Com . U downloadin huh...,personal
1613,"ll b bookin tmr morn, u 2 and 4pm oso can rite...",personal
1614,"They usually cut lk my sis kind lor, u can tell em wat u wan... Hmmm, den u thk abt it lor, but msg me k...",personal
1615,Ya ok... But b4 10 k...,personal
1616,"ll have to ask em tmr lor... Might b able to... If 2 dun have, 4 ok?",personal
1617,Hey... I booked liao... 2pm... So meet u at 145 at clarke quay station?,personal
1618,"ve made an appt 4 haircut at 2pm, together w 2 of my frens....",personal
1619,"So if in future i want a free haircut, i nd to get e slip of paper from u rite...",personal
1620,Hmmm... If my frens wana go lor... Y do u nd so many models...,personal
1621,ll b quite late... Gee...,personal
1622,s ur  first wk of sch? Happenin?,personal
1623,"Izit... How come so fast got stress liao, haven really start studyin yet... So which hall u stayin in?",personal
1624,ll b lk u nxt month oso... U noe miwa? She stayin in hall three...,personal
1625,s ur roommate?,personal
1626,"m goin out... Gee, dunno my swimmin costume still can fit anot...",personal
1627,ll join u la...,personal
1628,Hey mei... U goin tmr rite... Have u got anythin 4 jos?,personal
1629,ll go shop w u tmr... I wan go far east buy bottom...,personal
1630,"Hmmm... 12? I cant shop too long oso, nd to b home by 4....",personal
1631,"I oso wont stay 4 too long lor... I leave w u lor... Haha, or menghong is comin to pick u...",personal
1632,Hey xin... Can bring e book tmr... Thanx...,personal
1633,I saw hello kitty cushion... Ard 20 bucks...U wan?,personal
1634,Hmmm... So tt means u not sharing oredi huh...,personal
1635,Hmmm... Okie lor... Den i buy liao k...,personal
1636,m ok w anythin...,personal
1637,Ok lor... Meet on mon?,personal
1638,"m not goin liao... Meet on mon can? Anyway, happy bdae!",personal
1639,Oh okie lor... I dun mind tmr...,personal
1640,Eh jos ah... U wana meet tmr?,personal
1641,"Mei suddenly say she dun wan go, den i oso dunno ur frens ma... Tmr confirm earlier hor...",personal
1642,s up...,personal
1643,"U meet us tmr la... Anyway u got ur classmates w u, go a bit extra leh...",personal
1644,jac one...,personal
1645,Eh jos... Can confirm oredi?,personal
1646,ll thk where to eat den call me back...,personal
1647,"Hmmm... Dun have... Thk toa payoh got... Troublesome 4 u anot, cos u still have to cut cake. Or u wan another day instead...",personal
1648,s not bad la... I dun mind tpy lor...,personal
1649,Braddel station lor... Wat time can u reach?,personal
1650,s lorong 4... U meet me at braddel den walk there lor...,personal
1651,"s e exit on ur right when u come out frm e control... So 7 ah, dun b late...",personal
1652,We eat at toa payoh k...Meet at braddel station at 7...,personal
1653,s near lor 2 tt area... Got one zi cha stall not bad lor... Cant rem which block izit...,personal
1654,m occupied lor... Meetin meijun later... So wat have u been doin...,personal
1655,"m oso alone now, waitin 4 my fren to pick me up...",personal
1656,s in e matric fair...,personal
1657,Oh my fren said go earlier cos there will b a long queue...,personal
1658,"Xin... Wat time do u wana go... Ard 10?u wana come my hse there, den can give u a lift...",personal
1659,Hmmm... I thk 10 lor...,personal
1660,Okie lor... Cya at 930... Nitez...,personal
1661,Wah... Tmr 9 muz reach sch oredi... Haiz.... So i meet u at 850 lk tt k...,personal
1662,s lect 25?,personal
1663,Hmmm... Okie lor... Den meet wat time leh?,personal
1664,"845 lk tt lor... Okie, hope i wont get lost... Cya tmr...",personal
1665,m reachin...,personal
1666,"Hey mei... U came 4 e talk today? Oh, e orientation izit muz sign up one?",personal
1667,"s given to u? Cos i chose comp life sci, den some modules same as u, c if can go lect together... :)",personal
1668,"m in e midst of a talk... Sob sob, cant have lunch w u all...",personal
1669,My frens oso dunno have to sign up one... Den ur senior noe anyone in e orientation...,personal
1670,"ll consider after all e talks lor, c which one more interestin...",personal
1671,I finish at 4 plus leh...,personal
1672,Huh... I mean e orientation in e first wk leh... Not majors...,personal
1673,"s fow... Aiyo den die la, i dun have to go to sch nxt wk liao...",personal
1674,Hey xin... Do u rem if e lecturer said students nd to  fill in app form to apply 4 applied chem?,personal
1675,m goin to orchard now...,personal
1676,"Den wat colour they picked 4 u... U still there ah, they take so long... So did u get ur hall?",personal
1677,"He bleached cos he wans to colour it w another colour rite... Dun worry la, wont b too bad one lor..",personal
1678,"s only some small fry lor, cos he nds to go ard pullin models... Goin to watch movie now lor, w sis...",personal
1679,Hey xin... Can i borrow ur charles n keith coupon... Saw a pair quite nice lor... But e coupon got any terms n condition anot...,personal
1680,ll consider if i still wan e charles n keith.,personal
1681,"s type of hair colour rite... Aiya, let em get used to it lor, tell em everyone say v nice... Gee...",personal
1682,m goin to bid now liao... U bid 4 some of ur modules oredi?,personal
1683,"Which lect time u bid 4? I dunno if shld take gem tis sem, i might take lor, u leh...",personal
1684,When is ur st and lsm lect time?,personal
1685,m biddin all my maths and computin modules first...,personal
1686,Wah... E queue damn long to buy laptops... U goin to buy soon? Beta hurry cos e offer will open to e whole nus tmr onwards...,personal
1687,m contemplatin btw toshiba and e fujitsu one... Goin to take a look at e fuji one b4 i decide lor... U wan hp one rite...,personal
1688,m oredi on my way to funan liao...,personal
1689,"No la... They ask me to go funan to look at fuji, if i like den email em to place order, it will b student price oso...",personal
1690,s cash and carry lor...,personal
1691,Hey pink... Izit e fujitsu s series will come to sch nxt wk? Cos i heard frm xin lor. I thgt of gettin it but got no loan now...,personal
1692,Den we will still b given student price and loan rite... Hey how u noe comin nxt wk?,personal
1693,Formal wear ah... Den can wear jeans anot...,personal
1694,m takin em oso... Den mayb can go lect together...,personal
1695,"hey xin,mon 4 aug, 0845 at lt32,formal wear, cant wear jeans.tats d plan for 1st day of sch.Haiz, surely bring us tour ard e sch one, sianz...",personal
1696,s e plan... Wat time is ur tuition...,personal
1697,Mayb u can go sch in e morn den afternoon go 4 ur tuition lor...,personal
1698,ll go check now...,personal
1699,"Wa, so late den enlisted ah... Civil defence not bad wat...My sch term starts nxt wk... Enjoy ur wkend den...",personal
1700,ll last... U goin?,personal
1701,Hey mei... U noe how long will e inauguration last tmr?r u goin?,personal
1702,Oh okie lor... Cos if got nothin much den i wont go lor...,personal
1703,Okie... U wana a lift? Or u wan meet in sch...,personal
1704,"s on e mountain, haha, have to check map liao...",personal
1705,"s tt place... Aiyo, y diff venue one...",personal
1706,s at e cultural center leh...,personal
1707,m a bit confused lor...,personal
1708,Oh okie den... Cya...,personal
1709,m near sch but stuck in jam...,personal
1710,Haha... Okie... Cya there...,personal
1711,Hey fen ah... So when u free to meet up leh?,personal
1712,s our rag day...,personal
1713,s somethin like nus version of chingay lor... If u wan can go c c lor...,personal
1714,Aiyo... Ok... If tis wkend u free den can go out lor...,personal
1715,"Yupz... Okie, can...",personal
1716,Hmmm....Have lunch den... Morn oso dunno can do wat...Was thkin of goin pubbin...,personal
1717,"Huh... My sch start but i dunno anyone yet, din join orientation... Lunch at marche or somethin...",personal
1718,Oh okie la... Oso can... So c u all at 11 den...will joan joan b comin?,personal
1719,m not sure... Cos i may not go 4 e rag day... Y leh...,personal
1720,Aiya... Den 430 come la....,personal
1721,Oh ya... 5 plus get can?,personal
1722,m goin to sign up 4 somethin la...,personal
1723,Ask Daddy Fetch me at 5...,personal
1724,Haven... Nearly wanted to buy...,personal
1725,Ya la... Y...,personal
1726,come at 315...Lect end early... Haha...,personal
1727,Den where r u...,personal
1728,Help me record wan chuan yu le...,personal
1729,Ask Daddy fetch me at 330...,personal
1730,"ll help me send mail to em... Haiz, shldn have gone there...",personal
1731,Haiz... They ask me to go back to my department and ask...  Waste my time...,personal
1732,Dunno leh.. Mayb not goin la...,personal
1733,s e website 4 e qet thg...,personal
1734,Can la of cos...,personal
1735,"Den tt time u oso use e soc one wat... Hiya, u drop my pen, now cant write notes...",personal
1736,Den use which dail up...,personal
1737,"Help me record betelnut beauty at 2, channel u... Ur goin shoppin later?",personal
1738,She juz c first la... Not buyin la... I oso c c wat...,personal
1739,Ya... Until 415 lor... Den goin to c laptops w huixin..,personal
1740,s dada doin? Sleepin?U Wana fetch me home?,personal
1741,s hse to cut cake... At ang mo kio...,personal
1742,Wat time he pickin u up?,personal
1743,U goin home now izit... I juz started...,personal
1744,"m interested in goin 4 e sailing camp, r there any vacancies?",personal
1745,"My name is Sharis How. Female, 18. Hp is 90487664. Sci fac. No sailing experience. Email: z_ilches@hotmail.Com",personal
1746,"oh, ur no is on e leaflet i got from e matric fair...",personal
1747,ve got a sports bazaar...,personal
1748,m free all e way until 2...,personal
1749,s mon 9 to 10 rite...,personal
1750,But my lect starts at 2 leh... When r u free anytime b4 2?,personal
1751,"Wa, ur schedule so shiong tmr... Hmmm, den thurs lor...",personal
1752,Hey cal... I nd my stats notes back leh... U still nd den u zap a copy first lor...When u free ah?,personal
1753,Nope.. Still in lect... Where r u...,personal
1754,"Computational science, dunno anyone there... U muz b in maths rite...",personal
1755,Eh xin u got any frens in linear algebra? Cos i dunno which lect to go to...,personal
1756,"My session is actually tue and fri, but tmr got drivin so i go today lor...Gee, ok thanx...",personal
1757,"Ya lor, only yest.. At science fair ere, after e sports bazaar... E sporty and cool type...",personal
1758,"s frm sci anyway... Juz read ur mail, so do u have any activities tonite?",personal
1759,m takin it oso!,personal
1760,Yep yep... Den we can go lecture together!,personal
1761,Hey xin ah... Wat time will u b joinin e camp?,personal
1762,"ve to meet em at 845, dunno can wake up anot...",personal
1763,"Really... But boon law here din rain... Aiyo, i came on e dot den now haven even start off... Waitin 4 latecomers... Y u not here, miz u leh...",personal
1764,Ya... I reached home oredi... U comin?,personal
1765,Up to u lor... I anythin one... Tt means u not comin liao rite...,personal
1766,Hmmm... My lect end at 2... Shld b ard in late afternoon lor...,personal
1767,"s thurs 6 plus, but cant rem e exact time,so can u help me to check?thanx!",personal
1768,Hmmm... u send my msg back to me...,personal
1769,"Hmmm...Dun have leh... Y do u nd it... Oh u noe photographic society got meetin on wed, wana go?",personal
1770,Kaiez... At left side again hor...,personal
1771,s bdae... At west coast park... Pls msg me whether u r goin anot...,personal
1772,U nvr check ur email ah... Details u have to ask cindy... We meetin at 12...,personal
1773,s goin...,personal
1774,"I dunno leh... Cant get into cors... Did u get? Den e interview how ah, do we go tmr, so confusing...",personal
1775,"Thk will send one mail and confirm lor, they lk nvr check whether we booked oredi anot.",personal
1776,ll reply asap...,personal
1777,"ll let u change one... Anyway, sleep early, nite nite...",personal
1778,s no lab session today rite?,personal
1779,"Hey... U called me izit... Was sleepin juz now. I downloaded e file oredi, so how, u wan me to print 4 u?",personal
1780,"Nope, juz woke up... Wah, u so late haven slp ah... Pple stay in hall really slp late. Kaiez, nitez...",personal
1781,Mine is 4 slides per page lor... Dunno y he made it so small oso...,personal
1782,"Hey... Gd luck k, a bit late la, but juz woke up... Hey so later eng at e same class room rite... Cya...",personal
1783,"m reachin soon... Try again lor, u book e nxt test oredi?",personal
1784,ll reach nus ard 3... U still at e centre huh...,personal
1785,"Okie lor... Cya in class later, save a seat 4 me k... :)",personal
1786,s life 4 u den...,personal
1787,"ll have a 6 day wk, haiz...",personal
1788,"s 1hr only, arghh... Kaiez, take care, have a great wkend too...",personal
1789,Huh... How come not goin... So sad...,personal
1790,"Yupz... Goin... Huh lk tt so little pple, lien oso not goin... Wat match, until wat time leh...",personal
1791,"Huh... Whole afternoon gone... Nvrmind lor, nxt time go again... C whose bdae comin up...",personal
1792,m gona b late leh... Sorry...,personal
1793,m not late afterall...,personal
1794,Hmmm....not sure oso... Thk shld b at e fst block leh... My sis said at s2... Thk muz go early and find...,personal
1795,So far so good lor... Starting my 6 day wk tis wk.A bit sian but still can cope la...,personal
1796,Hey u wana meet at someplace den go look 4 e classroom... Mayb at e canteen or somethg...,personal
1797,ll b a bit late... Cos forgot to take smethg...,personal
1798,s no jam...,personal
1799,s e mock? My tutorial juz ended lor... Got 2 hrs break now...,personal
1800,ll go in and chop seats first ?,personal
1801,"Hmmm.... Might recognize her if i happen to c her... Wow, on e bus oredi ah, sure wont late one...",personal
1802,"Okie... Oh u came frm home, thgt u were in hall. Cya...",personal
1803,"ll b at e corner lor, not e middle...So dun worry la... Din c ur fren though...",personal
1804,Daddy... Fetch me together w jue... I surf net in sch...,personal
1805,Hey lien... U change no huh... I juz wan to confirm... U noe la...,personal
1806,"Hmmm... U wan i lend it to u lor, thk i dun nd la, i wan my notes more... Gee... Oh, e coasters 4 cow u wana share? I was thkin of gettin cups 4 her too...",personal
1807,m so lonely here... Sob sob...,personal
1808,m ready...,personal
1809,m comin back...,personal
1810,s ur army life... So which unit r u in?,personal
1811,ll go and book seats... I dun have lab oredi...,personal
1812,ll get it though...,personal
1813,We r on e right side...,personal
1814,Hmmm... I dunno leh... Ur fst got no lab 4 ur to use ah...,personal
1815,"Oh... I noe oredi... Sci library,  u can print stuff...",personal
1816,"No la... Other pple wld have slam e fone oredi, haha, at least u still entertain me...",personal
1817,Huh... How u noe? I din receive anythin leh...,personal
1818,Oh... Lk tt ah... Tt means nvr recieve mail den nvr get in la...,personal
1819,"ll c ur cca bkground oso, tose in sports more likely to get in lor... Alrite la... Den u goin to join any other cca?",personal
1820,"Hmmm... Ya lor... Come to thk of it, lk startin to get v bz oredi... Haha, shoppin shall b my cca... So tmr we meet in class rite...",personal
1821,m at home now... My first lesson is eng lor...,personal
1822,Hey yongsi... Did u get into sailing com?,personal
1823,So gd... Thk i din get in cos haven heard any news frm em... They sent u an email izit...,personal
1824,Halo... When r u free to pass me e notes ah?,personal
1825,Hmmm... But where u wana meet me first...,personal
1826,ve got driving test if she mark attendance if not den nvm lor...,personal
1827,"Oh, lk tt ah, cant help u liao... Aiyo, thk tonite i cant slp ah... K la, cya tmr if possible...",personal
1828,s my only session...,personal
1829,s quite nice...,personal
1830,Okie... Very gan jiong now...hey ur warmup got do parkin anot?,personal
1831,"Oh okie... Den gd... Kaiez, msg u later...",personal
1832,s ur nxt test date?,personal
1833,s no dates available 4 dec oso...,personal
1834,"Ya... Eng exam on e 14 lor... But eng dun really have to prepare lor... I wan to get earlier date but so fast no more slots, so horrible...",personal
1835,On e 21st... Smack rite in e midst of exam... Dunno if shld cancel it anot...,personal
1836,"Huh... Cant, oh die liao... Thgt can... Haiz, resign to my fate.",personal
1837,"E 2nd tut harder lor, quite some dunno how to do. She nvr explain properly ah... Cham, i din even go 4 tut...",personal
1838,"Ya, i can understand... Most of my tutors r frm china too, really cant catch wat r they tryin to say. Thk beta depend on myself...Din c u during lect...",personal
1839,m gona b late...,personal
1840,"I dunno... Haha, she haven reply... But u noe xin la, she near oso late one...",personal
1841,Start liao... Goin thru tut... Where r u huh...,personal
1842,"Our tutors not gd mah, so he go thru tut 1. Oh, he start lect now liao.. Wah, wait 4 who ah?",personal
1843,"Oh... I c i c... Haha, xin ask u to take away food 4 her, pau or smethg... Gee, can help me buy packet milo? Thanx sweety...",personal
1844,Xin said okie... Huh? U in macs now ah...,personal
1845,ll cya at e canteen...,personal
1846,"Aiyo... Wawa, wat were u doin tonite ah.. Nvr join our online chat... Tsk tsk...",personal
1847,"ve guessed too... K la, dun disturb u liao... Swt dreamz...",personal
1848,How come so late one ur camp... Wat  camp is it?,personal
1849,"Really... Where? No la, i stop chatting long ago... Aiya, but tis time u torture ur juniors, so not tt taxin la... Gee...",personal
1850,s no option 4 it leh...,personal
1851,Ya mine is pdf... But dun have e icon to choose double...,personal
1852,Hey lien... U wana me to chop seats 4 u?,personal
1853,m seatin at e right side...Quite front... Shld b ez to find... U reachin?,personal
1854,"Really ah... So qiao. Cos i thgt u juz post a msg in ivle forum, thgt u still online lor... Was thkin of addin u to my msn ma, den can chat...",personal
1855,Those who din do e survey still nd to print not...,personal
1856,"Izit... Cos some nvr mark leh... Oh okie... They bold e ans, haiz...",personal
1857,"Hey rebecca... Can save a seat 4 me, gona b late...",personal
1858,ve got class on sat...,personal
1859,s life...,personal
1860,"Hmmm...wkends lor.... Cos got sch everyday mah... Thurs or fri oso can la, but evening den can...U all leh...",personal
1861,s u at first...,personal
1862,Cant lor... Today bz... U wana go town 4 wat...,personal
1863,"Huh... U lost ur fone meh... Ya, tt guy really look lk u lor, hairstyle everythg e same... Haha, but he taller...",personal
1864,"Hmmm... Ok only la... Gee...Y, interested ah, intro to u la...",personal
1865,m not goin to do it liao cos got test tmr...,personal
1866,"Eh jos... Mei not free on sat...afternoo she cant, den evening i cant...",personal
1867,"m comin soon, gota wait 4 my sis first...",personal
1868,Hey suying... Did u have ur lab coat w u now? Cos my fren nds it...,personal
1869,"Haha... Ya lor, carryin everything ard... E brownie oso haven eat yet, no time...",personal
1870,s no? Did she change?,personal
1871,"Huh... Jokes, okie,so weird... U enjoy ur day too, so gd can go back oredi...",personal
1872,"I oso dunno lor... Cos mei seems quite bz... Mayb e following sat perhaps. Actually wkdays oso can lor, 4 dinner...",personal
1873,"Hey mei... Thanx 4 e gift...Muz tell me when u free ah... Den can go mum mum together, dun wait till hols la, still far...",personal
1874,"Hey pinky... E flowers frm ur mum huh, very nice leh...",personal
1875,"Ya, help me thank ur mum hor...Gee, e brownie very nice oso...",personal
1876,"Hey... E folder in e workbin is closed, so how r we supposed to submit?",personal
1877,"Oh.. Okie, but y muz mail to e lecturer oso...",personal
1878,"Dunno leh... Ur feel lk eatin wat?Hmmm, geylang? Can eat beef kway teow and frog porridge...",personal
1879,m in science faculty lor... So wat do ya have to do as an armour tech...,personal
1880,Hey pple... Do ur wana watch movie tonite?,personal
1881,"Hmmm... Can watch wu jian dao... Others oso can la, c which ur prefer...",personal
1882,Hmmm... Shld b lor... I go bk check newspaper...,personal
1883,"Haiz... So sad, got no sneaks 4 wu jian dao yet... Hey, my sis said chomp chomp closed 4 renovation leh. Die, dinner muz choose other place liao...",personal
1884,"Okie lor... Den set ah, geylang k... So meet at aljunied mrt at 530 lor... Eh xin, ur darling goin to b at j8 today...",personal
1885,Okie lor... Help me pass e msg ard k...,personal
1886,"Haha okie... U haven tell em change time rite, den dun nd msg em...",personal
1887,Hmmm... Now dunno where liao... On expressway now...,personal
1888,"Haha... Okie... Luckily i was napping juz now, if not really go online liao...",personal
1889,m trapped in e jam now. But reachin soon...,personal
1890,m sitting at e back now...,personal
1891,"Ok... Aiyo, y so many pple skip lect... Pink also...",personal
1892,Haiz... U r rite... Pple will take e bottle one... I cant find it oredi..,personal
1893,m not goin liao... Gota study for my test...Gee...,personal
1894,m in e car liao... Cant send u...,personal
1895,s e test period... So where are u studyin now? Doin wat...,personal
1896,Hey pink... How much does ur calculator cost?Mine spoil liao...,personal
1897,"Haha... Ya lor... So xiang ni... Aiya, thgt of askin u out but nvr mind lor. I realize nd to go bk do wk oso... Another day... Gee",personal
1898,"Opps... Sorry reply so late... I did until 5, e rest not sure how to do...",personal
1899,"No la, gota prepare 4 an oral presentation tmr. Hmmm, mayb fri? For lunch or smethg...",personal
1900,Hmmm... U goin? I c if i got test e following wk anot first k...,personal
1901,"Haha... Kaiez... Was thkin of not goin too, so useless...",personal
1902,"Okie... But i haven reach yet, dunno still got seats anot... Pinky not comin oso...",personal
1903,"Hey... Now rainin cats and dogs, u still goin 4 bio? My lab juz finish, dunno where to go now, rain lk crazy...",personal
1904,"Hmmm... Ya, dun thk so... Raining lor, not very convenient...",personal
1905,Opps... Wrong msg... Haha... So 11 can?,personal
1906,m only free b4 12...,personal
1907,"Hey... Lien can only mk it after 12, but i got lesson. So mt other day or juz u n me?",personal
1908,Oh okie... Den tmr  after 4 lor... Dunno weiyi got lesson not...,personal
1909,"s on dollar averagin lor, dun rem studyin it b4. Very hard if u dun have comp, ur fren do oredi? Mayb she noes...",personal
1910,Hmmm... U reach oredi den wait at e canteen can? But rem to give me a buzz...,personal
1911,Hey weiyi... Tmr meet u at 11? At arts?,personal
1912,"Hmmm... Thk can go la... How much, 15 izit...",personal
1913,I asked my frenz but they dunno yet... I go w u la... Haha...,personal
1914,Okie lor... If i cant get any frens den i wont go liao...,personal
1915,s bash only...,personal
1916,ll rather watch tv... Den y u not goin...,personal
1917,"ll meet him very often one... Gee, someones gettin hitched on wo...",personal
1918,s e thg dat u dun wana c leh... Oh izit... I wan to c ur eye candy!,personal
1919,"m not goin too, got tests nxt wk oso,my tests is nvr ending lor since sept, haiz. Okie, jia you!",personal
1920,s hall bash lor... Ask ur frens along oso...,personal
1921,"ve got tests everywk since sept, haven stop yet... So no diff la...",personal
1922,"Aiya, u dun thk until so bad ma... U work hard now still can wan lor... Study w ur frenz la... Muz jia you k!",personal
1923,"m nt goin too, nobody pei...",personal
1924,"I thk e rest shld b free, but xin cant chiong ... Dun mind go chiong lor, den y u dun go 4 bash.Hey, wat do u nd nowadays...",personal
1925,Oh... Eh haven say wat u nd leh...,personal
1926,Hmmm... Shld b can la... Got any buses?,personal
1927,Hey gal... Do u wana go to e museum tmr for our assignment...,personal
1928,ll join u and rebecca lor....,personal
1929,Hmmm... Wed after our test?  Dunno one hr enuff not...,personal
1930,"Okie... Cya den...mugging 4 test now, so sian...",personal
1931,"m out 4 dinner liao... Haha, bt i recorded it. Oh ya, can i borrow ur tut 5 for stats tmr...",personal
1932,Where r u now? I haven reach oso...,personal
1933,m oredi on my way to e class liao...,personal
1934,"Hey... Saw ur eye candy... Ok la, thk ur previous eye candies beta lor... Haha, dun b sad ah...",personal
1935,Hmmm... Haven reach yet... Shld b e same place la...,personal
1936,s goin...,personal
1937,"Hey fen... Oh my, u r in a relationship? Nvr tell me...",personal
1938,s confirm goin izit... Den ok lor... Will there gona b any programmes tt nite?,personal
1939,"Hey serene... I wont b goin 4 e tut tmr... Haven do e tut yet, was studyin 4 my test lor...",personal
1940,"m not attendin e stats tut tmr... Gee, goin to e doc cos of my rottin hand, partly lazy oso la...",personal
